@relation features

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute F23 numeric
@attribute F24 numeric
@attribute F25 numeric
@attribute F26 numeric
@attribute F27 numeric
@attribute F28 numeric
@attribute F29 numeric
@attribute F30 numeric
@attribute F31 numeric
@attribute F32 numeric
@attribute F33 numeric
@attribute F34 numeric
@attribute F35 numeric
@attribute F36 numeric
@attribute F37 numeric
@attribute F38 numeric
@attribute F39 numeric
@attribute F40 numeric
@attribute F41 numeric
@attribute F42 numeric
@attribute F43 numeric
@attribute F44 numeric
@attribute F45 numeric
@attribute F46 numeric
@attribute F47 numeric
@attribute Class {Not-obfuscated,Obfuscated}

@data
561,32.311943,18127,0,0.002017,28.390244,0.256854,0.236112,0.004358,0,104.937008,0.735202,0,0,0,0,0,0.000221,0,0.009709,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,17,0,0,0,0,40,0,0,0,0,0.015667,0.067082,Not-obfuscated
663,43.31825,28720,0,0.001306,32,0.020056,0.242932,0.457974,0,133.702703,0.172249,0,0,0,0,0,0.001811,0.002611,0.00289,0,0,0,0,1,4,0,0,5,16,0,1,0,7,0,0,4,0,0,0,25,1,0,0,0,0.064763,0.117897,Not-obfuscated
1612,31.729529,51148,0,0.000753,19.705882,0.307832,0.205834,0.023852,0,183.198113,0.759326,0,0,0,0,0,0.001447,0.002424,0.021799,0,0,0,0,0,0,0,1,0,2,0,3,0,16,0,1,0,0,1,0,43,0,0,0,0,0.020744,0.077911,Not-obfuscated
438,40.347032,17672,0,0.002178,10,0.006225,0.198336,0.634337,0,66.1,0.037404,0,0,0,0,0,0,0.001358,0.000453,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0.066206,0.124547,Not-obfuscated
229,29.716157,6805,0,0.005588,18.311111,0.242175,0.183982,0.014842,0,156.323529,0.781043,0,0,0,0,0,0.004115,0,0.016312,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0.019104,0.078325,Not-obfuscated
51,35.607843,1816,0,0.021583,32.318182,0.39152,0.113987,0.018722,0,173.444444,0.859581,0,0,0,0,0,0,0,0.011013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.014868,0.068833,Not-obfuscated
178,43.786517,7794,0,0.004935,29.074766,0.399153,0.170516,0.036567,0,199.903226,0.795099,0,0,0,0,0,0.001155,0,0.010778,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.023351,0.07262,Not-obfuscated
68,33.970588,2310,0,0.016834,7,0.006061,0.192641,0.319913,0,49.857143,0.151082,0,0,0,0,0,0.000866,0,0.002165,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.035931,0.10303,Not-obfuscated
157,36.401274,5715,0,0.006816,14.980198,0.264742,0.146982,0,0,168.5,0.825547,0,0,0,0,0,0.00035,0,0.021697,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0.016098,0.065967,Not-obfuscated
145,35.813793,5193,0,0.007486,10.230769,0.025611,0.212594,0.428461,0,82.166667,0.189871,3,0.000193,0,0,0,0,0,0.002889,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0.055844,0.114385,Not-obfuscated
